ID_new,ID_Old,species,Longitude,Latitude,source
296,4562,altae,-84.419,10.226,Velasco etal16
297,4563,altae,-84.408,10.226,Velasco etal16
298,4564,altae,-84.17,10.244,Velasco etal16
299,4565,altae,-84.17,10.244,Velasco etal16
300,4566,altae,-84.17,10.244,Velasco etal16
301,4567,altae,-84.184,10.264,Velasco etal16
302,4568,altae,-84.8,10.283,Velasco etal16
303,4569,altae,-84.8,10.283,Velasco etal16
304,4570,altae,-84.817,10.3,Velasco etal16
305,4571,altae,-84.817,10.3,Velasco etal16
306,4572,altae,-84.817,10.3,Velasco etal16
307,4573,altae,-84.817,10.3,Velasco etal16
308,4574,altae,-84.025,10.422,Velasco etal16
309,4575,altae,-84.025,10.422,Velasco etal16
310,4576,altae,-84.025,10.422,Velasco etal16
311,4577,altae,-85.467,10.933,Velasco etal16
312,4578,altae,-85.462,10.934,Velasco etal16
313,4579,altae,-85.462,10.934,Velasco etal16
314,4580,altae,-85.462,10.934,Velasco etal16
315,4581,altae,-85.8,11.45,Velasco etal16
316,91,altavelensis,-71.639,17.467,Velasco etal16
317,92,altitudinalis,-76.853,19.987,Velasco etal16
318,93,altitudinalis,-76.837,19.97,Velasco etal16
319,23886,altitudinalis,-76.85,19.9833,GBIF
320,23887,altitudinalis,-76.8333,19.9667,GBIF
321,94,alumina,-71.562,18.129,Velasco etal16
322,95,alumina,-71.62,18.12,Velasco etal16
323,96,alumina,-71.628,18.104,Velasco etal16
324,97,alumina,-71.145,18.17,Velasco etal16
325,98,alumina,-71.112,18.17,Velasco etal16
326,99,alumina,-71.778,18.179,Velasco etal16
327,100,alumina,-71.653,18.087,Velasco etal16
328,101,alumina,-71.678,18.079,Velasco etal16
329,102,alumina,-71.753,18.12,Velasco etal16
330,103,alumina,-71.753,18.112,Velasco etal16
331,104,alumina,-71.753,18.079,Velasco etal16
332,105,alumina,-71.103,18.22,Velasco etal16
333,106,alumina,-71.378,17.787,Velasco etal16
334,107,alumina,-71.062,18.162,Velasco etal16
335,108,alumina,-71.103,18.204,Velasco etal16
336,109,alumina,-71.312,17.837,Velasco etal16
337,110,alumina,-71.112,18.062,Velasco etal16
338,111,alumina,-71.228,18.237,Velasco etal16
339,112,alumina,-71.07,18.179,Velasco etal16
340,113,alumina,-72.062,18.237,Velasco etal16
341,114,alumina,-71.753,18.037,Velasco etal16
342,115,alutaceus,-76.837,19.987,Velasco etal16
343,116,alutaceus,-80.103,21.929,Velasco etal16
344,117,alutaceus,-74.687,20.154,Velasco etal16
345,118,alutaceus,-75.003,20.32,Velasco etal16
346,119,alutaceus,-80.02,21.912,Velasco etal16
347,120,alutaceus,-75.153,20.287,Velasco etal16
348,121,alutaceus,-80.003,21.937,Velasco etal16
349,122,alutaceus,-80.17,22.07,Velasco etal16
350,123,alutaceus,-83.02,22.804,Velasco etal16
351,124,alutaceus,-80.228,21.912,Velasco etal16
352,125,alutaceus,-82.137,23.02,Velasco etal16
353,126,alutaceus,-81.853,22.912,Velasco etal16
354,127,alutaceus,-83.37,22.645,Velasco etal16
355,128,alutaceus,-83.903,22.445,Velasco etal16
356,129,alutaceus,-82.428,23.079,Velasco etal16
357,130,alutaceus,-80.337,22.137,Velasco etal16
358,131,alutaceus,-83.97,22.412,Velasco etal16
359,132,alutaceus,-80.47,22.47,Velasco etal16
360,133,alutaceus,-77.787,21.595,Velasco etal16
361,134,alutaceus,-80.437,22.145,Velasco etal16
362,135,alutaceus,-78.02,21.287,Velasco etal16
363,136,alutaceus,-77.887,21.637,Velasco etal16
364,137,alutaceus,-77.912,21.679,Velasco etal16
365,138,alutaceus,-82.803,21.887,Velasco etal16
366,139,alutaceus,-75.945,20.045,Velasco etal16
