species,minLat,maxLat,Midpoint_Lat,Log10_meanSVL,P-comp,S-comp,Anntemp,AET,GVI,NDVI,season_temp,season_prec
laevis,-6.035264,-5.966165,-6.0007145,1.77815125,1.722651077,0.055500173,219.4081879,1202,213.5,204.0694427,619.3225403,24.88285923
laeviventris,8.812,21.19,15.001,1.67669361,1.711277228,-0.034583618,206.1250544,1192.478632,226.3119658,199.9345327,1520.791133,70.20991769
lamari,4.096169,4.164628,4.1303985,1.633468456,1.723265107,-0.089796651,203.8641129,1404,227,197.9166718,404.9416656,48.234478
latifrons,3.93,7.976,5.953,2.084576278,1.99385046,0.090725818,259.5415628,1546.571429,237.8571429,198.0423301,320.6797464,29.52374717
leachii,17.641,17.641,17.641,1.961421094,1.824615489,0.136805605,265.82724,782,255,197.3009338,1141.554199,29.9259491
lemurinus,8.397,27.07,17.7335,1.894869657,1.739266375,0.155603282,247.3904967,1296.713586,233.6695226,203.6443799,1406.034384,58.69356908
limifrons,7.767,20.86,14.3135,1.672097858,1.743692934,-0.071595076,242.365125,1413.555,234.6816667,198.570687,834.0992787,44.77603395
limon,5.559,6.912,6.2355,1.90579588,1.998974268,-0.093178388,221.6405959,1468.090909,231.5454545,201.2727287,376.3410034,42.92148382
lineatopus,17.954,18.462,18.208,1.788875116,1.856314717,-0.067439601,247.6801036,1183.636364,237,205.7748288,989.3574052,46.77085079
lineatus,12.1906,12.236194,12.213397,1.829303773,1.802351371,0.026952402,273.0986481,499,255,170.0879593,886.6291809,66.93832397
liogaster,17.21,18.48,17.845,1.752048448,1.703736587,0.048311861,193.3444139,910.7755102,226.8367347,200.908541,980.0904342,102.856398
lionotus,8.483,15.05,11.7665,1.851258349,1.745244973,0.106013376,239.152727,1407.779343,234.6666667,195.0715092,718.8640605,45.38670214
litoralis,19.9228,20.3353,20.12905,1.574031268,1.559296369,0.014734899,255.2316261,808.5,248.5,176.9789345,1496.354419,58.53480759
lividus,16.72,16.804,16.762,1.826074803,1.829603057,-0.003528254,253.3847911,1220.666667,255,188.2067922,1109.483643,28.09302966
longiceps,18.405,18.405,18.405,1.900367129,1.820326847,0.080040282,264.9997253,1301,255,1,901.5013428,37.00004578
longitibialis,17.57,18.012,17.791,1.8162413,1.800546986,0.015694314,262.4890808,670,205,201.6648193,1189.940552,57.13336334
loveridgei,13.133,15.7,14.4165,2.068185862,1.804243401,0.263942461,234.3699646,1186.153846,227.3076923,200.0829761,1324.974445,65.47964654
loysianus,19.987,22.804,21.3955,1.591064607,1.590733516,0.000331091,240.9494985,1144.5,226.5833333,201.1033948,1904.047312,57.57612483
luciae,13.837,14.037,13.937,1.886490725,1.877108392,0.009382333,247.3617223,1331.666667,247,208.8047816,1010.703054,37.4938736
lucius,20.762,23.112,21.937,1.809559715,1.754527668,0.055032047,246.3430717,1155.8,228.3,203.0189812,1928.586377,60.58039207
luteogularis,21.67,22.837,22.2535,2.263636069,2.231401621,0.032234448,246.633207,1162.142857,226.7142857,173.7731476,2061.229283,58.32101985
luteosignifer,19.723985,19.724337,19.724161,1.67669361,1.706895841,-0.030202231,261.2963257,1035,255,1,1426.295776,59.87037659
lynchi,-0.468,2.806,1.169,1.781755375,1.746938499,0.034816876,232.7332727,1311.48,218.8,170.9766644,492.2669989,55.01592335
